,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,
Code,New Code,Area,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,E09000001,City of London,"1,734",0,0.0,"1,957",x,x,"2,104",7,0.3,"2,144",5,0.2,"2,134",8,0.4,"2,207",7,0.3,"2,238",6,0.3,"2,235",5,0.2,"2,260",4,0.2,"2,295",4,0.2,"2,307",4,0.2,"2,316",3,0.1,"2,333",6,0.3,"2,347",8,0.3,"2,355",8,0.3,"2,376",105,4.4,"2,382",9,0.4,"2,428",6,0.2
00AB,E09000002,Barking and Dagenham,"30,349",859,2.8,"30,642",877,2.9,"30,954",921,3.0,"31,182",898,2.9,"31,575",831,2.6,"31,814",812,2.6,"32,244",758,2.4,"33,062",783,2.4,"33,869",803,2.4,"35,075",807,2.3,"36,490",817,2.2,"37,862",844,2.2,"39,177",886,2.3,"40,220",929,2.3,"41,975",942,2.2,"42,944","1,012",2.4,"43,506","1,092",2.5,"43,916","1,178",2.7
00AC,E09000003,Barnet,"54,404","1,457",2.7,"54,282","1,443",2.7,"54,535","1,358",2.5,"54,376","1,320",2.4,"54,454","1,349",2.5,"54,359","1,316",2.4,"55,087","1,363",2.5,"55,647","1,458",2.6,"56,302","1,420",2.5,"57,101","1,498",2.6,"58,861","1,561",2.7,"59,969","1,630",2.7,"61,281","1,661",2.7,"62,052","1,666",2.7,"63,656","1,681",2.6,"64,752","1,763",2.7,"65,789","1,851",2.8,"66,962","2,016",3.0
00AD,E09000004,Bexley,"41,128","1,127",2.7,"41,332","1,227",3.0,"41,555","1,295",3.1,"41,687","1,326",3.2,"41,625","1,344",3.2,"41,554","1,302",3.1,"41,444","1,211",2.9,"41,437","1,183",2.9,"41,350","1,135",2.7,"41,731","1,087",2.6,"42,364","1,063",2.5,"43,042","1,088",2.5,"43,356","1,101",2.5,"43,984","1,138",2.6,"44,383","1,151",2.6,"44,815","1,146",2.6,"44,498","1,204",2.7,"44,624","1,334",3.0
00AE,E09000005,Brent,"39,976","1,148",2.9,"41,916","1,131",2.7,"42,521","1,144",2.7,"42,607","1,100",2.6,"43,150","1,171",2.7,"43,623","1,205",2.8,"44,136","1,244",2.8,"44,551","1,259",2.8,"45,201","1,325",2.9,"46,434","1,418",3.1,"47,395","1,397",2.9,"48,015","1,383",2.9,"48,890","1,371",2.8,"50,142","1,426",2.8,"51,093","1,511",3.0,"51,262","1,558",3.0,"51,308","1,603",3.1,"51,167","1,639",3.2
00AF,E09000006,Bromley,"52,225","1,684",3.2,"52,201","1,720",3.3,"52,266","1,685",3.2,"51,820","1,603",3.1,"51,435","1,544",3.0,"50,787","1,557",3.1,"50,773","1,566",3.1,"51,135","1,645",3.2,"51,302","1,704",3.3,"51,584","1,786",3.5,"51,789","1,779",3.4,"52,496","1,901",3.6,"53,135","1,818",3.4,"53,705","1,726",3.2,"54,398","1,621",3.0,"55,035","1,604",2.9,"56,000","1,698",3.0,"56,762","1,802",3.2
00AG,E09000007,Camden,"30,306",904,3.0,"28,885",882,3.1,"28,962",917,3.2,"29,055",997,3.4,"29,176",970,3.3,"29,120",894,3.1,"29,235",926,3.2,"29,449",930,3.2,"29,503",918,3.1,"29,496",896,3.0,"30,537",851,2.8,"31,235",856,2.7,"31,583",871,2.8,"31,945",864,2.7,"32,422",917,2.8,"32,771","1,029",3.1,"32,618","1,129",3.5,"32,774","1,172",3.6
00AH,E09000008,Croydon,"58,896","1,149",2.0,"59,863","1,193",2.0,"59,815","1,316",2.2,"59,284","1,346",2.3,"58,608","1,353",2.3,"58,403","1,294",2.2,"58,360","1,288",2.2,"58,617","1,319",2.3,"59,060","1,325",2.2,"59,743","1,386",2.3,"61,348","1,488",2.4,"62,461","1,536",2.5,"63,415","1,679",2.6,"64,229","1,792",2.8,"65,092","1,839",2.8,"65,230","1,956",3.0,"65,028","2,114",3.3,"65,439","2,294",3.5
00AJ,E09000009,Ealing,"48,747","1,204",2.5,"48,511","1,259",2.6,"48,515","1,274",2.6,"48,668","1,292",2.7,"48,722","1,286",2.6,"49,330","1,261",2.6,"49,871","1,257",2.5,"50,585","1,312",2.6,"51,869","1,384",2.7,"52,928","1,340",2.5,"54,318","1,505",2.8,"55,265","1,545",2.8,"56,505","1,569",2.8,"57,682","1,628",2.8,"58,955","1,657",2.8,"59,313","1,759",3.0,"59,339","1,833",3.1,"59,583","2,023",3.4
